검색조건,,,,,,,,,
대출기간,2018-01-01 ~ 2018-12-31,,,,,,,,
성별,전체,,,,,,,,
연령,전체,,,,,,,,
지역,서울,,,,,,,,
세부지역,성북구,,,,,,,,
ISBN 부가기호,아동,,,,,,,,
주제,전체,,,,,,,,
,,,,,,,,,
제공기관 : 국립중앙도서관,,,,,,,,,
데이터 제공일 : 2019-12-23,,,,,,,,,
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,,,,,,,,,
,,,,,,,,,
순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
172,도서관에 도깨비가 으히히히 ,싱자휘 글 ;심윤섭 옮김,국민서관,2008,,9788911027583 ,77820,823.7,6
172,똥자루 굴러간다 ,김윤정 글·그림,국민서관,2010,,9788911029228 ,77810,813.7,6
172,"짠돌이, 지갑을 열다 ",홍기운 글 ;조현숙 그림,좋은책신사고 좋은책어린이,2015,,9788928315307 ,74810,813.7,6
172,"엄마, 나를 포기하세요! ",박현숙 글 ;김효진 그림,좋은책신사고 좋은책어린이,2015,,9788928315369 ,74810,813.7,6
172,Why? 사춘기와 성 ,글: 전지은 ;만화: 이혜조,예림당,2011,13,9788930202428 ,74470,408,6
172,Why? 똥 ,글: 허순봉 ;만화: 송회석,예림당,2011,20,9788930202497 ,74530,511,6
172,Why? 유전과 혈액형 ,글: 전재운 ;만화: 최명구,예림당,2008,43,9788930206631 ,73400,476,6
172,2대 마녀 자렛의 허브티 ,글·그림: 안비루 야스코 ;옮김: 정은지,예림당,2011,2,9788930210607 ,73830,833.6,6
172,여왕님의 보랏빛 마법 ,글 그림: 안비루 야스코 ;옮김: 정문주,예림당,2013,11,9788930210973 ,73830,833.6,6
172,Why? 미술 ,글: 조영선 ;그림: 이영호,예림당,2010,6,9788930231398 ,73650,1,6
172,"난 방귀벌레, 난 좀벌레 :유희윤 시 ",지은이: 유희윤 ;그린이: 노인경,문학과지성사,2013,,9788932023892 ,77810,811.8,6
172,지구를 구한 꿈틀이사우루스,캐런 트래포드 글;이루리 그림,현암사,2003,,9788932370019 ,77840,539,6
172,(침만 꼴깍꼴깍 삼키다 소시지가 되어버린)악어 이야기,로알드 달 글;김수연 옮김,김영사,2005,,9788934914686 ,77840,843,6
172,(가로세로) 세계사,이원복 글·그림,김영사,2006-2014,1,9788934921998 ,77900,909,6
172,책 속으로 들어간 공룡,송윤섭,주니어김영사,2009,,9788934936329 ,73810,,6
172,(어린이를 위한) 정의란 무엇인가 ,안미란 글 ;조광제 도움글,김영사,2011,,9788934950523 ,73810,193,6
172,세상에서 가장 큰 케이크 ,안영은 글 ;김성희 그림,김영사,2014,,9788934967019 ,77810,813.7,6
172,이게 정말 사과일까? ,요시타게 신스케 글·그림 ;고향옥 옮김,김영사,2014,,9788934968726 ,77830,833.6,6
172,마법의 설탕 두 조각,미카엘 엔데 글;유혜자 옮김,한길사,2001,,9788935652792 ,74850,853,6
